"V1","V2"
"hsa-miR-9-5p","Pro-mesenchymal"
"hsa-miR-10a-5p","Pro-mesenchymal"
"hsa-miR-10b-5p","Pro-mesenchymal"
"hsa-miR-15b-5p","Pro-mesenchymal"
"hsa-miR-17-5p","Pro-mesenchymal"
"hsa-miR-19","Pro-mesenchymal"
"hsa-miR-21-5p","Pro-mesenchymal"
"hsa-miR-23a-5p","Pro-mesenchymal"
"hsa-miR-29a-5p","Pro-mesenchymal"
"hsa-miR-92b-5p","Pro-mesenchymal"
"hsa-miR-93-5p","Pro-mesenchymal"
"hsa-miR-100-5p","Pro-mesenchymal"
"hsa-miR-127","Pro-mesenchymal"
"hsa-miR-130a-5p","Pro-mesenchymal"
"hsa-miR-134-5p","Pro-mesenchymal"
"hsa-miR-149-5p","Pro-mesenchymal"
"hsa-miR-181b-3p","Pro-mesenchymal"
"hsa-miR-191-5p","Pro-mesenchymal"
"hsa-miR-197-3p","Pro-mesenchymal"
"hsa-miR-210-3p","Pro-mesenchymal"
"hsa-miR-214-5p","Pro-mesenchymal"
"hsa-miR-216a-5p","Pro-mesenchymal"
"hsa-miR-217","Pro-mesenchymal"
"hsa-miR-221-5p","Pro-mesenchymal"
"hsa-miR-224-5p","Pro-mesenchymal"
"hsa-miR-452-5p","Pro-mesenchymal"
"hsa-miR-487a-3p","Pro-mesenchymal"
"hsa-miR-487b-3p","Pro-mesenchymal"
"hsa-miR-544a","Pro-mesenchymal"
"hsa-miR-520g-3p","Pro-mesenchymal"
"hsa-miR-616-5p","Pro-mesenchymal"
"hsa-miR-5003-3p","Pro-mesenchymal"
"hsa-miR-6780a","Pro-mesenchymal"
"EBV-miR-BART7-5p","Pro-mesenchymal"
"EBV-miR-BART10-3p","Pro-mesenchymal"
"hsa-miR-96-5p","Both"
"hsa-miR-106b-5p","Both"
"hsa-miR-130b-5p","Both"
"hsa-miR-146a-5p","Both"
"hsa-miR-146b-5p","Both"
"hsa-miR-150-5p","Both"
"hsa-miR-155-5p","Both"
"hsa-miR-181a-5p","Both"
"hsa-miR-182-5p","Both"
"hsa-miR-183-5p","Both"
"hsa-miR-205-5p","Both"
"hsa-miR-223-5p","Both"
"hsa-miR-375","Both"
